S/N,AREA,MOST COMMON AREA #1,MOST COMMON AREA #2,MOST COMMON AREA #3,MOST COMMON AREA #4,MOST COMMON AREA #5
0,ANG MO KIO,Chinese Restaurant,Food Court,Vegetarian / Vegan Restaurant,Asian Restaurant,Coffee Shop
1,BEDOK,Coffee Shop,Noodle House,Asian Restaurant,Convenience Store,Food Court
2,BISHAN,Food Court,Coffee Shop,Chinese Restaurant,Asian Restaurant,Seafood Restaurant
3,BUKIT BATOK,Food Court,Food Truck,Performing Arts Venue,Supermarket,
4,BUKIT MERAH,Chinese Restaurant,Asian Restaurant,Bakery,Coffee Shop,Convenience Store
5,BUKIT PANJANG,Food Court,Market,Miscellaneous Shop,Noodle House,Park
6,CENTRAL,Chinese Restaurant,Vegetarian / Vegan Restaurant,Noodle House,Asian Restaurant,Seafood Restaurant
7,CHOA CHU KANG,Asian Restaurant,Chinese Restaurant,Coffee Shop,Electronics Store,Park
8,CLEMENTI,Bakery,Bus Station,BBQ Joint,Bus Stop,Café
9,GEYLANG,Chinese Restaurant,Noodle House,Vegetarian / Vegan Restaurant,Bar,BBQ Joint
10,HOUGANG,Snack Place,Café,Food Court,Fried Chicken Joint,Japanese Restaurant
11,JURONG EAST,Food Court,Coffee Shop,American Restaurant,Asian Restaurant,BBQ Joint
12,JURONG WEST,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Asian Restaurant,Café
13,KALLANG/WHAMPOA,Thai Restaurant,Fast Food Restaurant,BBQ Joint,Coffee Shop,Harbor / Marina
14,MARINE PARADE,Hotel,Japanese Restaurant,Multiplex,Bakery,Café
15,PASIR RIS,Campground,Resort,,,
16,PUNGGOL,Coffee Shop,Fast Food Restaurant,Athletics & Sports,Bridge,Bus Station
17,QUEENSTOWN,Chinese Restaurant,Food Court,Noodle House,Asian Restaurant,Café
18,SEMBAWANG,Campground,Park,Pub,,
19,SENGKANG,Grocery Store,Coffee Shop,Convenience Store,Fast Food Restaurant,Indian Restaurant
20,SERANGOON,Asian Restaurant,Bakery,Bus Station,Indian Restaurant,Café
21,TAMPINES,Coffee Shop,Fast Food Restaurant,Supermarket,Thai Restaurant,
22,TOA PAYOH,Snack Place,Bakery,Café,Chinese Restaurant,Coffee Shop
23,WOODLANDS,Department Store,Monument / Landmark,Park,Playground,
24,YISHUN,Coffee Shop,Food Court,Asian Restaurant,Bus Stop,Convenience Store
